"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"39917",27.56,70.31,27.41,25.665,36.63785685,33.3,16.68111225,NA,24.43,28.94962978,50.5,9.125,9.41,19.94700498,28.74,9.5333238,28.406224,19.64,1.18132495,NA,9.605,31.49,98.6,54.07505165,29.045,44.58516232,16.7,56.64925679,NA,5.88
"39918",27.52,71.7,27.3,25.71,37.32672335,34.1,16.65210162,NA,24.945,29.089445539,48.95,9.31,9.55,20.49085472,28.69,9.66999033,27.7052912,20.14,1.23927674,NA,9.7,31.66,101.3,53.87554777,29.405,45.23441376,16.64,52.3849067,NA,6.23
"39919",27.72,72.56,27.1,26.055,37.592429,34.29,16.68111225,NA,25.49,30.68179169,50.95,9.525,9.63,20.56102888,28.74,9.71999028,28.36011,20.09,1.33289117,NA,9.75,32.295,102,54.626062366,29.5,46.1259232,17.48,54.09462282,NA,6.17
"39920",27.7,72.45,27.1,27.14,37.54322425,32.19,16.83583561,NA,26.58,33.01205435,51.35,9.865,9.8,20.3505064,30,10.0666566,32.8885048,20.05,1.50228871,NA,9.87,33.325,102.45,55.65208232,29.45,46.77517464,18.3,56.37093091,NA,6.2
"39923",27.16,68.62,26.08,25.89,37.24799575,30.39,15.3756339,NA,24.435,29.275866552,47.07,9.42,9.715,19.28912223,28.98,9.8999901,30.020214,19.75,1.38638513,NA,9.435,32.65,101.65,54.635562551,29.08,44.1878592,16.77,53.9753403,NA,5.8
"39924",28.2,70.22,26.1,25.83,38.182886,30.16,15.54969768,NA,24.9,29.943875181,48.2,9.475,9.095,19.77156958,29.25,10.1666565,28.037312,19.42,1.48891522,NA,9.56,33.17,103.26,55.813585461,29.305,44.73051712,17,51.63939095,NA,6
"39925",29.24,71.63,26.5,26.135,38.60604685,29.94,15.9558465,NA,25.97,31.0701688,49.93,8.89,8.77,19.61367772,28.96,10.2999897,28.775136,19.28,1.55578267,NA,9.59,33.08,103.93,54.816066062,29.875,46.3197296,17.64,53.677134,NA,6.07
"39926",30.15,70.8,26.1,26.24,38.01558985,29.16,17.00022918,NA,26.3,30.813839908,51.7,8.54,8.68,19.90314613,28.8,10.54998945,30.066328,19.09,1.68060191,NA,9.75,33.235,97,50.12297479,30.335,45.46698144,17.15,52.66323258,NA,6.19
"39927",30.58,70.45,27.18,27.275,38.35018215,29.88,19.8239305,NA,27.3,31.940133527,52.4,8.555,8.97,20.89435614,28.99,11.01665565,29.881872,19.77,1.67168625,NA,9.6,33.25,94.47,50.445981072,31.12,47.61823248,17.66,49.94955525,NA,6.25
"39930",30,68.09,27.11,27.15,38.23209075,29.74,18.38306921,NA,27.05,33.050892061,53.05,8.445,9.13,21.52592358,29.1,10.73998926,29.466846,19.88,1.59590314,NA,8.81,34,92.9,49.932971095,30.705,47.0949552,17.28,48.45852375,NA,6.13
"39931",29.37,67.95,26.92,26.05,38.09431745,30.79,17.64813325,NA,26.57,31.419708199,51.33,8.355,9.125,21.48206473,29.39,10.82998917,29.789644,20.08,1.52903569,NA,8.8,33.5,92,50.293978116,30.46,46.1259232,16.6,46.51024259,NA,5.95
"39932",28.64,70.17,26.89,26.745,36.85435775,30.58,19.28239874,NA,27.1,31.815852851,53.52,8.49,9.175,22.32415465,29.42,10.6999893,29.6605248,20.24,1.66722842,NA,9.345,33.75,98.2,51.091993636,29.37,49.9535996,16.43,45.38699886,NA,5.97
"39933",28.6,69.63,28.64,26.17,36.95276725,31,18.9536116,NA,27,31.225519644,55.2,8.66,9.225,22.32415465,29.7,10.61665605,29.3100584,20.45,1.75638502,NA,9.525,33.89,103.2,51.823507862,28.725,49.00394824,16.23,47.1165954,NA,6.24
"39937",29.49,71.8,28.78,26.89,37.64163375,31.47,19.4371221,NA,27.515,32.204229961,57,9.12,8.49,23.71886608,29.24,10.7666559,33.66322,21.27,2.06397529,NA,10.02,33.855,102.5,52.868528186,29.285,50.9710832,17.41,45.26771634,NA,6.21
"39938",26.44,71.78,28.74,27.36,37.4940195,31.6,19.4371221,NA,27.85,32.118786997,55.19,9.705,8.39,23.29782112,28.54,10.7666559,35.784464,21.21,2.35819207,NA,10.23,33.1,101.5,53.334037239,28.415,50.12802536,17.18,46.15239503,NA,6.47
"39939",25.33,74.5,29.3,28.36,37.4743376,31.6,21.12940885,NA,28.31,32.180927335,55.79,10.02,8.31,22.84168908,28.72,10.7999892,37.859594,22.1,2.228915,NA,10.66,32.54,104.35,53.951549248,28.625,51.25210248,17.76,48.56786606,NA,6.66
"39940",25.22,71.45,28.05,27.91,37.34640525,31.9,19.97865386,NA,27.57,30.580813642,54.68,10,8.175,20.99084561,29.17,10.95665571,39.2337912,21.83,2.26903547,NA,10.23,31.42,102.9,53.448039456,28,49.33341912,17.22,45.98341146,NA,6.33
"39941",24.75,76.21,29.63,27,37.54322425,33.15,20.83930255,NA,27.72,32.825633337,55.3,10.315,8.135,21.79784845,29.27,11.3666553,37.1309928,22.31,2.09072227,NA,10.515,31.5,101.44,55.832585831,28.84,51.28117344,18.3,44.91980899,NA,6.74
"39944",25.1,76.32,29.23,25.565,37.60226995,33.4,19.48547315,NA,26.78,32.662514951,55.32,10.18,8.14,21.32417287,28.81,11.58998841,37.6659152,21.96,1.84108379,NA,10.065,31.02,98,55.680582875,29.505,50.04081248,17.45,41.68924074,NA,6.53
"39945",25.89,75.73,29.26,25,37.68099755,33.15,19.51448378,NA,26.15,31.342032777,57.21,10.03,8.355,21.20136809,29.31,11.23998876,35.4524432,22.48,1.86337294,NA,10,31.705,99.79,55.490579179,29.325,49.6144384,16.29,42.69320195,NA,6.75
"39946",24.85,70.3,27.88,23.86,36.06708175,32.85,18.31537774,NA,24.845,29.749686626,55.56,9.415,8.325,20.89435614,29.98,11.58332175,33.1836344,22,1.6939754,NA,9.465,31.545,96.5,55.367076778,29.73,47.50194864,15.7,42.50433796,NA,6.75
"39947",24.26,70.65,27.5,24.765,36.7264254,32.74,18.35405858,NA,25.255,30.448765424,56.38,9.52,8.445,21.06101977,30.19,11.51332182,28.8950324,21.96,1.9168669,NA,9.36,31.61,98.5,55.65208232,29.935,48.94580632,15.89,44.58184185,NA,6.61
"39948",23.98,68.8,27.62,24.655,36.3131055,32.76,18.22834585,NA,24.985,31.046866174,59.6,9.335,8.29,20.49962649,29.76,11.3999886,28.3047732,21.88,1.91240907,NA,9.23,31.14,95.5,55.614081581,29.525,48.5969548,15.92,47.69312758,NA,6.36
"39951",25.46,71.75,28.7,25.2,36.805153,33.45,19.00196265,NA,25.62,33.524712135,60.24,9.41,8.435,21.03470446,30.31,11.81665485,27.945084,22.38,1.9168669,NA,9.24,31.915,98.5,55.737583983,30.59,50.21523824,16.5,46.37107965,NA,6.71
"39952",26.65,72.45,29.12,26.16,37.6514747,33.65,19.65953693,NA,26.1,35.311246841,64.4,9.545,8.38,21.51715181,30.09,11.50998849,27.4101616,22.5,2.16204755,NA,9.545,31.79,98.36,56.431097471,30.655,52.6184376,17.24,48.4088227,NA,7.05
"39953",27.19,70.9,30.45,26.035,40.1313941,33.75,23.00542959,NA,26.33,36.002558097,63.96,9.54,8.31,22.02591447,30.54,11.666655,27.6591772,22.97,2.14421623,NA,9.915,32.5,96.53,56.801604676,30.05,52.80255368,17.63,48.86607236,NA,6.83
"39954",26.04,68.2,29.62,25.37,39.13745815,33.61,22.57994035,NA,25.185,36.352097496,60.71,9.495,8.17,21.53469535,29.84,11.50998849,26.5063272,22.33,2.08180661,NA,9.6,32.47,93.75,56.022589526,29.675,50.88387032,17.1,49.1046374,NA,6.57
"39955",26.27,68.1,29.94,25.045,38.5962059,33.53,22.48323825,NA,24.95,36.468610629,60.42,9.665,8.19,21.81539199,29.8,11.63998836,25.8883996,22.29,2.10409576,NA,9.615,32.07,94.25,56.193592852,29.935,50.90325096,17.13,49.28356118,NA,6.38
"39958",26.21,68.44,29.93,24.93,38.7930249,34.05,22.89905728,NA,24.785,36.390935207,60.39,9.645,8.26,21.98205562,29.96,12.1333212,25.8883996,22.25,2.04168614,NA,9.73,32.525,94.5,56.545099688,30.11,51.48467016,16.96,48.6076269,NA,6.44
